equipo,Goles Marcados Local_ult10_temp,Goles Marcados Visitante_ult10_temp,Goles Recibidos Local_ult10_temp,Goles Recibidos Visitante_ult10_temp
Napoles,20.0,16.0,8.0,9.0
PSV,4.0,4.0,3.0,7.0
Atletico Madrid,32.0,19.0,19.0,21.0
Real Madrid,80.0,55.0,38.0,40.0
Inter,24.0,29.0,17.0,24.0
Lazio,13.0,7.0,9.0,11.0
PSG,65.0,56.0,20.0,40.0
Real Sociedad,4.0,3.0,2.0,0.0
Leipzig,44.0,37.0,37.0,48.0
Porto,30.0,28.0,31.0,22.0
Arsenal,12.0,4.0,0.0,4.0
Manchester City,83.0,62.0,27.0,29.0
Bayern,79.0,82.0,19.0,30.0
Barcelona,49.0,26.0,34.0,23.0
Dortmund,33.0,30.0,18.0,39.0
Copenhague,6.0,2.0,5.0,3.0
