equipo,Golesxpartido Local_ult10_temp,Golesxpartido Visitante_ult10_temp,Golesxpartido Recibidos Local_ult10_temp,Golesxpartido Recibidos Visitante_ult10_temp
Napoles,2.5,2.0,1.0,1.1
Lazio,1.9,1.0,1.3,1.6
Porto,1.6,1.6,1.6,1.2
Arsenal,4.0,1.3,0.0,1.3
PSV,1.3,1.3,1.0,2.3
Real Sociedad,1.3,1.0,0.7,0.0
Copenhague,2.0,0.7,1.7,1.0
Atletico Madrid,1.5,1.2,0.9,1.3
Barcelona,2.2,1.1,1.5,1.0
Leipzig,1.8,1.7,1.5,2.2
Manchester City,2.6,2.0,0.8,0.9
Real Madrid,2.5,1.7,1.2,1.2
PSG,2.4,2.1,0.7,1.5
Inter,1.3,1.4,0.9,1.2
Bayern,2.8,2.6,0.7,1.0
Dortmund,1.6,1.4,0.9,1.8
