temporada,equipo_ganador,equipo_finalista
2022-2023,Manchester City,Inter
2021-2022,Real Madrid,Liverpool
2020-2021,Chelsea,Manchester City
2019-2020,Bayern Munich,Paris Saint-Germain
2018-2019,Liverpool,Tottenham Hotspur
2017-2018,Real Madrid,Liverpool
2016-2017,Real Madrid,Juventus
2015-2016,Real Madrid,Atlético de Madrid
2014-2015,Barcelona,Juventus
2013-2014,Real Madrid,Atlético de Madrid
2012-2013,Bayern Munich,Borussia Dortmund
2011-2012,Chelsea,Bayern Munich
2010-2011,Barcelona,Manchester United
