fase,equipo_local,goles_equipo_local,equipo_visitante,goles_equipo_visitante
Octavos,Copenhague,2.0,Manchester City,2.0
Octavos,Leipzig,2.0,Real Madrid,2.0
Octavos,PSG,2.0,Real Sociedad,0.0
Octavos,Lazio,1.0,Bayern,3.0
Octavos,PSV,2.0,Dortmund,1.0
Octavos,Inter,2.0,Atletico Madrid,1.0
Octavos,Porto,1.0,Arsenal,1.0
Octavos,Napoles,2.0,Barcelona,3.0
Octavos,Bayern,2.0,Lazio,1.0
Octavos,Real Sociedad,2.0,PSG,1.0
Octavos,Manchester City,1.0,Copenhague,0.0
Octavos,Barcelona,3.0,Napoles,3.0
Octavos,Arsenal,3.0,Porto,0.0
Octavos,Atletico Madrid,2.0,Inter,1.0
Octavos,Dortmund,2.0,PSV,1.0
Octavos,Real Madrid,3.0,Leipzig,2.0
