fase,equipo_local,goles_equipo_local,equipo_visitante,goles_equipo_visitante
Octavos,Copenhague,0.0,Manchester City,1.0
Octavos,Leipzig,1.0,Real Madrid,2.0
Octavos,PSG,0.0,Real Sociedad,0.0
Octavos,Lazio,0.0,Bayern,3.0
Octavos,PSV,0.0,Dortmund,5.0
Octavos,Inter,1.0,Atletico Madrid,0.0
Octavos,Porto,2.0,Arsenal,0.0
Octavos,Napoles,2.0,Barcelona,0.0
Octavos,Bayern,2.0,Lazio,0.0
Octavos,Real Sociedad,1.0,PSG,1.0
Octavos,Manchester City,1.0,Copenhague,0.0
Octavos,Barcelona,2.0,Napoles,2.0
Octavos,Arsenal,2.0,Porto,0.0
Octavos,Atletico Madrid,0.0,Inter,1.0
Octavos,Dortmund,2.0,PSV,2.0
Octavos,Real Madrid,3.0,Leipzig,1.0
